date,team1,team2,toss_winner,Decision,powerplay_run1,first_score,first_wkts,powerplay_run2,second_score,second_wkts,winner,player_of_the_match,Stadium_Name,Location
22-03-2024,Bangalore,Chennai,Bangalore,Bat,55,173,6,60,176,4,Chennai,Mustafizur Rahman,M. Chinnaswamy Stadium,Bangalore
23-03-2024,Delhi,Punjab,Punjab,Field,52,174,9,64,177,6,Punjab,Sam Curran,Arun Jaitley Stadium,Delhi
23-03-2024,Kolkata,Hyderabad,Hyderabad,Field,58,208,7,70,204,7,Kolkata,Andre Russell,Eden Gardens,Kolkata
24-03-2024,Rajasthan,Lucknow,Rajasthan,Bat,57,193,4,68,173,6,Rajasthan,Sanju Samson,Sawai Mansingh Stadium,Jaipur
24-03-2024,Gujarat,Mumbai,Mumbai,Field,54,168,6,62,162,9,Gujarat,Sai Sudharsan,Narendra Modi Stadium,Ahmedabad
25-03-2024,Punjab,Bangalore,Bangalore,Field,50,176,6,61,178,6,Bangalore,Virat Kohli,Punjab Cricket Stadium,Mohali
26-03-2024,Chennai,Gujarat,Gujarat,Field,60,206,6,67,143,8,Chennai,Shivam Dube,MA Chidambaram Stadium,Chennai
27-03-2024,Hyderabad,Mumbai,Mumbai,Field,63,277,3,72,246,5,Hyderabad,Abhishek Sharma,Rajiv Gandhi Cricket Stadium,Hyderabad
28-03-2024,Rajasthan,Delhi,Delhi,Field,55,185,5,64,173,5,Rajasthan,Riyan Parag,Sawai Mansingh Stadium,Jaipur
29-03-2024,Bangalore,Kolkata,Kolkata,Field,52,182,6,66,186,3,Kolkata,Sunil Narine,M. Chinnaswamy Stadium,Bangalore
30-03-2024,Lucknow,Punjab,Lucknow,Bat,57,199,8,65,178,5,Lucknow,Mayank Yadav,Ekana Stadium,Lucknow
31-03-2024,Hyderabad,Gujarat,Hyderabad,Bat,51,162,8,60,168,3,Gujarat,Mohit Sharma,Rajiv Gandhi Cricket Stadium,Hyderabad
31-03-2024,Delhi,Chennai,Delhi,Bat,54,191,5,62,171,6,Delhi,Khaleel Ahmed,Arun Jaitley Stadium,Delhi
01-04-2024,Mumbai,Rajasthan,Rajasthan,Field,47,125,9,55,127,4,Rajasthan,Trent Boult,Wankhede Stadium,Mumbai
02-04-2024,Lucknow,Bangalore,Bangalore,Field,52,181,5,60,153,10,Lucknow,Mayank Yadav,Ekana Stadium,Lucknow
03-04-2024,Kolkata,Delhi,Kolkata,Bat,62,272,7,70,166,10,Kolkata,Sunil Narine,Eden Gardens,Kolkata
04-04-2024,Gujarat,Punjab,Punjab,Field,55,199,4,62,200,7,Punjab,Shashank Singh,Narendra Modi Stadium,Ahmedabad
05-04-2024,Chennai,Hyderabad,Hyderabad,Field,53,165,5,60,166,4,Hyderabad,Abhishek Sharma,MA Chidambaram Stadium,Chennai
06-04-2024,Bangalore,Rajasthan,Rajasthan,Field,56,183,3,65,189,4,Rajasthan,Jos Buttler,M. Chinnaswamy Stadium,Bangalore
07-04-2024,Mumbai,Delhi,Delhi,Field,59,234,5,67,205,8,Mumbai,Romario Shepherd,Wankhede Stadium,Mumbai
07-04-2024,Lucknow,Gujarat,Lucknow,Bat,50,163,5,59,130,10,Lucknow,Yash Thakur,Ekana Stadium,Lucknow
08-04-2024,Kolkata,Chennai,Chennai,Field,54,137,9,61,141,3,Chennai,Ravindra Jadeja,Eden Gardens,Kolkata
09-04-2024,Hyderabad,Punjab,Punjab,Field,53,182,9,64,180,6,Hyderabad,Nitish Kumar Reddy,Rajiv Gandhi Cricket Stadium,Hyderabad
10-04-2024,Rajasthan,Gujarat,Gujarat,Field,57,196,3,63,199,7,Gujarat,Rashid Khan,Sawai Mansingh Stadium,Jaipur
11-04-2024,Bangalore,Mumbai,Mumbai,Field,58,196,8,66,199,3,Mumbai,Jasprit Bumrah,M. Chinnaswamy Stadium,Bangalore
12-04-2024,Lucknow,Delhi,Lucknow,Bat,55,167,7,62,170,4,Delhi,Kuldeep Yadav,Ekana Stadium,Lucknow
13-04-2024,Punjab,Rajasthan,Rajasthan,Field,52,147,8,60,152,7,Rajasthan,Shimron Hetmyer,Punjab Cricket Stadium,Mohali
14-04-2024,Lucknow,Kolkata,Kolkata,Field,51,161,7,58,162,2,Kolkata,Phil Salt,Ekana Stadium,Lucknow
14-04-2024,Chennai,Mumbai,Mumbai,Field,56,206,4,64,186,6,Chennai,Matheesha Pathirana,MA Chidambaram Stadium,Chennai
